rep,size,num_streams,block_size,section,dur
0,1024,32,256,stream-14,1.414400e-05
0,1024,32,256,stream-25,1.369600e-05
0,1024,32,256,stream-22,1.385600e-05
0,1024,32,256,stream-18,1.331200e-05
0,1024,32,256,stream-21,1.427200e-05
0,1024,32,256,stream-27,1.385600e-05
0,1024,32,512,total,7.304000e-04
0,1024,32,512,stream-31,2.012800e-05
0,1024,32,512,stream-30,1.398400e-05
0,1024,32,512,stream-12,1.369600e-05
0,1024,32,512,stream-16,1.379200e-05
0,1024,32,512,stream-10,1.344000e-05
0,1024,32,512,stream-8,1.433600e-05
0,1024,32,512,stream-29,1.379200e-05
0,1024,32,512,stream-15,1.398400e-05
0,1024,32,512,stream-6,1.280000e-05
0,1024,32,512,stream-7,1.385600e-05
0,1024,32,512,stream-5,1.433600e-05
0,1024,32,512,stream-26,1.420800e-05
0,1024,32,512,stream-19,1.433600e-05
0,1024,32,512,stream-9,1.385600e-05
0,1024,32,512,stream-11,1.433600e-05
0,1024,32,512,stream-28,1.347200e-05
0,1024,32,512,stream-24,1.251200e-05
0,1024,32,512,stream-4,1.398400e-05
0,1024,32,512,stream-3,1.363200e-05
0,1024,32,512,stream-17,1.433600e-05
0,1024,32,512,stream-2,1.433600e-05
0,1024,32,512,stream-20,1.267200e-05
0,1024,32,512,stream-1,1.440000e-05
0,1024,32,512,stream-0,1.753600e-05
0,1024,32,512,stream-13,1.302400e-05
0,1024,32,512,stream-23,1.289600e-05
0,1024,32,512,stream-14,1.433600e-05
0,1024,32,512,stream-25,1.382400e-05
0,1024,32,512,stream-22,1.280000e-05
0,1024,32,512,stream-18,1.424000e-05
0,1024,32,512,stream-21,1.244800e-05
0,1024,32,512,stream-27,1.363200e-05
0,1024,32,1024,total,7.782720e-04
0,1024,32,1024,stream-31,2.179200e-05
0,1024,32,1024,stream-30,1.433600e-05
0,1024,32,1024,stream-12,1.353600e-05
0,1024,32,1024,stream-16,1.312000e-05
0,1024,32,1024,stream-10,1.433600e-05
0,1024,32,1024,stream-8,1.433600e-05
0,1024,32,1024,stream-29,1.388800e-05
0,1024,32,1024,stream-15,1.414400e-05
0,1024,32,1024,stream-6,1.388800e-05
0,1024,32,1024,stream-7,1.356800e-05
0,1024,32,1024,stream-5,1.302400e-05
0,1024,32,1024,stream-26,1.440000e-05
0,1024,32,1024,stream-19,1.404800e-05
0,1024,32,1024,stream-9,1.401600e-05
0,1024,32,1024,stream-11,1.385600e-05
0,1024,32,1024,stream-28,1.433600e-05
0,1024,32,1024,stream-24,4.723200e-05
0,1024,32,1024,stream-4,1.318400e-05
0,1024,32,1024,stream-3,1.433600e-05
0,1024,32,1024,stream-17,1.385600e-05
0,1024,32,1024,stream-2,1.433600e-05
0,1024,32,1024,stream-20,1.424000e-05
0,1024,32,1024,stream-1,1.542400e-05
0,1024,32,1024,stream-0,1.638400e-05
0,1024,32,1024,stream-13,1.369600e-05
0,1024,32,1024,stream-23,1.433600e-05
0,1024,32,1024,stream-14,1.465600e-05
0,1024,32,1024,stream-25,1.622400e-05
0,1024,32,1024,stream-22,1.280000e-05
0,1024,32,1024,stream-18,1.433600e-05
0,1024,32,1024,stream-21,1.404800e-05
0,1024,32,1024,stream-27,1.395200e-05
0,1024,64,32,total,1.939456e-03
0,1024,64,32,stream-62,1.414400e-05
0,1024,64,32,stream-60,1.340800e-05
0,1024,64,32,stream-21,1.248000e-05
0,1024,64,32,stream-18,1.228800e-05
0,1024,64,32,stream-25,1.414400e-05
0,1024,64,32,stream-53,1.299200e-05
0,1024,64,32,stream-56,1.360000e-05
0,1024,64,32,stream-13,1.430400e-05
0,1024,64,32,stream-0,1.859200e-05
0,1024,64,32,stream-20,1.228800e-05
0,1024,64,32,stream-17,1.385600e-05
0,1024,64,32,stream-46,1.385600e-05
0,1024,64,32,stream-3,1.433600e-05
0,1024,64,32,stream-4,1.868800e-05
0,1024,64,32,stream-2,1.302400e-05
0,1024,64,32,stream-24,1.392000e-05
0,1024,64,32,stream-27,1.267200e-05
0,1024,64,32,stream-38,1.273600e-05
0,1024,64,32,stream-55,1.353600e-05
0,1024,64,32,stream-28,1.398400e-05
0,1024,64,32,stream-11,1.264000e-05
0,1024,64,32,stream-57,1.433600e-05
0,1024,64,32,stream-9,1.283200e-05
0,1024,64,32,stream-19,1.254400e-05
0,1024,64,32,stream-23,1.379200e-05
0,1024,64,32,stream-26,1.385600e-05
0,1024,64,32,stream-7,1.408000e-05
0,1024,64,32,stream-41,1.411200e-05
0,1024,64,32,stream-6,1.417600e-05
0,1024,64,32,stream-45,1.385600e-05
0,1024,64,32,stream-63,2.969600e-05
0,1024,64,32,stream-15,1.283200e-05
0,1024,64,32,stream-40,1.388800e-05
0,1024,64,32,stream-61,1.356800e-05
0,1024,64,32,stream-8,1.433600e-05
0,1024,64,32,stream-10,1.401600e-05
0,1024,64,32,stream-1,1.584000e-05
0,1024,64,32,stream-16,1.302400e-05
0,1024,64,32,stream-30,1.433600e-05
0,1024,64,32,stream-31,1.379200e-05
0,1024,64,32,stream-32,1.292800e-05
0,1024,64,32,stream-44,1.248000e-05
0,1024,64,32,stream-49,1.318400e-05
0,1024,64,32,stream-59,1.356800e-05
0,1024,64,32,stream-33,1.376000e-05
0,1024,64,32,stream-36,1.372800e-05
0,1024,64,32,stream-34,1.353600e-05
0,1024,64,32,stream-35,1.379200e-05
0,1024,64,32,stream-29,1.430400e-05
0,1024,64,32,stream-37,1.433600e-05
0,1024,64,32,stream-22,1.321600e-05
0,1024,64,32,stream-42,1.276800e-05
0,1024,64,32,stream-12,1.366400e-05
0,1024,64,32,stream-43,1.433600e-05
0,1024,64,32,stream-47,1.321600e-05
0,1024,64,32,stream-50,1.331200e-05
0,1024,64,32,stream-5,1.433600e-05
0,1024,64,32,stream-48,1.328000e-05
0,1024,64,32,stream-51,1.280000e-05
0,1024,64,32,stream-52,1.267200e-05
0,1024,64,32,stream-58,1.430400e-05
0,1024,64,32,stream-14,1.420800e-05
0,1024,64,32,stream-39,1.420800e-05
0,1024,64,32,stream-54,1.286400e-05
0,1024,64,64,total,1.433376e-03
0,1024,64,64,stream-62,1.395200e-05
0,1024,64,64,stream-60,1.312000e-05
0,1024,64,64,stream-21,1.430400e-05
0,1024,64,64,stream-18,1.401600e-05
0,1024,64,64,stream-25,1.254400e-05
0,1024,64,64,stream-53,1.280000e-05
0,1024,64,64,stream-56,1.411200e-05
0,1024,64,64,stream-13,1.392000e-05
0,1024,64,64,stream-0,1.776000e-05
0,1024,64,64,stream-20,1.273600e-05
0,1024,64,64,stream-17,1.878400e-05
0,1024,64,64,stream-46,1.417600e-05
0,1024,64,64,stream-3,1.356800e-05
0,1024,64,64,stream-4,1.424000e-05
0,1024,64,64,stream-2,1.398400e-05
0,1024,64,64,stream-24,1.267200e-05
0,1024,64,64,stream-27,1.382400e-05
0,1024,64,64,stream-38,1.356800e-05
0,1024,64,64,stream-55,1.363200e-05
0,1024,64,64,stream-28,1.360000e-05
0,1024,64,64,stream-11,1.424000e-05
0,1024,64,64,stream-57,1.228800e-05
0,1024,64,64,stream-9,1.388800e-05
0,1024,64,64,stream-19,1.433600e-05
0,1024,64,64,stream-23,1.251200e-05
0,1024,64,64,stream-26,1.395200e-05
0,1024,64,64,stream-7,1.433600e-05
0,1024,64,64,stream-41,1.257600e-05
0,1024,64,64,stream-6,1.385600e-05
0,1024,64,64,stream-45,1.433600e-05
0,1024,64,64,stream-63,1.843200e-05
0,1024,64,64,stream-15,1.420800e-05
0,1024,64,64,stream-40,1.366400e-05
0,1024,64,64,stream-61,1.299200e-05
0,1024,64,64,stream-8,1.366400e-05
0,1024,64,64,stream-10,1.433600e-05
0,1024,64,64,stream-1,1.484800e-05
0,1024,64,64,stream-16,1.331200e-05
0,1024,64,64,stream-30,1.260800e-05
0,1024,64,64,stream-31,1.366400e-05
0,1024,64,64,stream-32,1.433600e-05
0,1024,64,64,stream-44,1.404800e-05
0,1024,64,64,stream-49,1.369600e-05
0,1024,64,64,stream-59,1.283200e-05
0,1024,64,64,stream-33,1.369600e-05
0,1024,64,64,stream-36,1.705600e-05
0,1024,64,64,stream-34,1.420800e-05
0,1024,64,64,stream-35,1.433600e-05
0,1024,64,64,stream-29,1.411200e-05
0,1024,64,64,stream-37,1.276800e-05
0,1024,64,64,stream-22,1.296000e-05
0,1024,64,64,stream-42,1.382400e-05
0,1024,64,64,stream-12,1.280000e-05
0,1024,64,64,stream-43,1.433600e-05
0,1024,64,64,stream-47,1.376000e-05
0,1024,64,64,stream-50,1.408000e-05
0,1024,64,64,stream-5,1.321600e-05
0,1024,64,64,stream-48,1.372800e-05
0,1024,64,64,stream-51,1.356800e-05
0,1024,64,64,stream-52,1.347200e-05
0,1024,64,64,stream-58,1.299200e-05
0,1024,64,64,stream-14,1.411200e-05
