rep,size,num_streams,block_size,section,dur
11,1024,16,64,total,2.749760e-04
11,1024,16,128,total,3.269760e-04
11,1024,16,256,total,2.764800e-04
11,1024,16,512,total,2.744320e-04
11,1024,16,1024,total,2.998400e-04
11,1024,32,32,total,5.365760e-04
11,1024,32,64,total,5.120000e-04
11,1024,32,128,total,5.099200e-04
11,1024,32,256,total,5.509120e-04
11,1024,32,512,total,5.360320e-04
11,1024,32,1024,total,5.290240e-04
11,1024,64,32,total,1.021952e-03
11,1024,64,64,total,1.015360e-03
11,1024,64,128,total,1.018496e-03
11,1024,64,256,total,1.026048e-03
11,1024,64,512,total,1.015296e-03
11,1024,64,1024,total,1.014112e-03
12,1024,1,32,total,6.995200e-05
12,1024,1,64,total,6.963200e-05
12,1024,1,128,total,6.780800e-05
12,1024,1,256,total,6.688001e-05
12,1024,1,512,total,6.697600e-05
12,1024,1,1024,total,6.668800e-05
12,1024,2,32,total,8.134400e-05
12,1024,2,64,total,8.054400e-05
12,1024,2,128,total,9.689600e-05
12,1024,2,256,total,8.044800e-05
12,1024,2,512,total,8.192000e-05
12,1024,2,1024,total,8.192000e-05
12,1024,4,32,total,1.144960e-04
12,1024,4,64,total,1.122240e-04
12,1024,4,128,total,1.123520e-04
12,1024,4,256,total,1.105920e-04
12,1024,4,512,total,1.112000e-04
12,1024,4,1024,total,1.109120e-04
12,1024,8,32,total,1.682560e-04
12,1024,8,64,total,1.943040e-04
12,1024,8,128,total,1.701440e-04
12,1024,8,256,total,1.699840e-04
12,1024,8,512,total,1.700160e-04
12,1024,8,1024,total,1.702400e-04
12,1024,16,32,total,2.898240e-04
12,1024,16,64,total,2.887680e-04
12,1024,16,128,total,2.867200e-04
12,1024,16,256,total,2.969600e-04
12,1024,16,512,total,2.887680e-04
12,1024,16,1024,total,3.132800e-04
12,1024,32,32,total,5.263360e-04
12,1024,32,64,total,5.297280e-04
12,1024,32,128,total,5.283839e-04
12,1024,32,256,total,5.539520e-04
12,1024,32,512,total,5.269760e-04
12,1024,32,1024,total,5.355840e-04
12,1024,64,32,total,1.021600e-03
12,1024,64,64,total,1.012672e-03
12,1024,64,128,total,1.016736e-03
12,1024,64,256,total,1.050624e-03
12,1024,64,512,total,1.011968e-03
12,1024,64,1024,total,1.022944e-03
13,1024,1,32,total,6.761600e-05
13,1024,1,64,total,6.758400e-05
13,1024,1,128,total,6.441600e-05
