rep,algo,x,y,section,dur
9,v1,16,16,kernel,4.321280e-04
9,stock,24,24,total,5.023744e-03
9,stock,24,24,kernel,2.652160e-04
9,v1,24,24,total,1.969856e-03
9,v1,24,24,kernel,4.321280e-04
9,stock,16,32,total,4.772480e-03
9,stock,16,32,kernel,2.519040e-04
9,v1,16,32,total,2.974304e-03
9,v1,16,32,kernel,4.300800e-04
9,stock,32,32,total,2.095616e-03
9,stock,32,32,kernel,2.641920e-04
9,v1,32,32,total,4.857728e-03
9,v1,32,32,kernel,4.280320e-04
10,cpu,,,total,2.282987e-01
10,stock,8,4,total,2.034624e-03
10,stock,8,4,kernel,2.560000e-04
10,v1,8,4,total,3.836896e-03
10,v1,8,4,kernel,4.362240e-04
10,stock,8,8,total,2.042112e-03
10,stock,8,8,kernel,2.549760e-04
10,v1,8,8,total,1.987296e-03
10,v1,8,8,kernel,4.392960e-04
10,stock,8,16,total,2.014080e-03
10,stock,8,16,kernel,2.519040e-04
10,v1,8,16,total,5.678624e-03
10,v1,8,16,kernel,4.382720e-04
10,stock,16,16,total,2.177824e-03
10,stock,16,16,kernel,2.519040e-04
10,v1,16,16,total,2.170816e-03
10,v1,16,16,kernel,4.321280e-04
10,stock,24,24,total,2.025152e-03
10,stock,24,24,kernel,2.662400e-04
10,v1,24,24,total,4.743712e-03
10,v1,24,24,kernel,4.382720e-04
10,stock,16,32,total,2.070880e-03
10,stock,16,32,kernel,2.519040e-04
10,v1,16,32,total,3.316960e-03
10,v1,16,32,kernel,4.290560e-04
10,stock,32,32,total,4.324224e-03
10,stock,32,32,kernel,2.631680e-04
10,v1,32,32,total,1.958816e-03
10,v1,32,32,kernel,4.280320e-04
11,cpu,,,total,2.505553e-01
11,stock,8,4,total,2.283840e-03
11,stock,8,4,kernel,2.580480e-04
11,v1,8,4,total,4.210048e-03
11,v1,8,4,kernel,4.382720e-04
11,stock,8,8,total,2.197920e-03
11,stock,8,8,kernel,2.539520e-04
11,v1,8,8,total,2.025600e-03
11,v1,8,8,kernel,4.392960e-04
11,stock,8,16,total,8.576128e-03
11,stock,8,16,kernel,2.529280e-04
11,v1,8,16,total,2.061920e-03
11,v1,8,16,kernel,4.392960e-04
11,stock,16,16,total,5.014528e-03
11,stock,16,16,kernel,2.498560e-04
11,v1,16,16,total,2.084864e-03
11,v1,16,16,kernel,4.331520e-04
11,stock,24,24,total,2.160896e-03
11,stock,24,24,kernel,2.641920e-04
11,v1,24,24,total,2.047488e-03
11,v1,24,24,kernel,4.331520e-04
11,stock,16,32,total,2.118944e-03
11,stock,16,32,kernel,2.508800e-04
11,v1,16,32,total,4.027296e-03
11,v1,16,32,kernel,4.300800e-04
11,stock,32,32,total,4.124768e-03
11,stock,32,32,kernel,2.641920e-04
11,v1,32,32,total,2.071072e-03
11,v1,32,32,kernel,4.280320e-04
12,cpu,,,total,2.376445e-01
12,stock,8,4,total,2.034720e-03
12,stock,8,4,kernel,2.570240e-04
12,v1,8,4,total,2.309920e-03
12,v1,8,4,kernel,4.372480e-04
12,stock,8,8,total,2.012736e-03
12,stock,8,8,kernel,2.529280e-04
12,v1,8,8,total,4.132928e-03
12,v1,8,8,kernel,4.392960e-04
12,stock,8,16,total,2.045152e-03
12,stock,8,16,kernel,2.529280e-04
12,v1,8,16,total,1.972608e-03
12,v1,8,16,kernel,4.372480e-04
12,stock,16,16,total,2.053024e-03
12,stock,16,16,kernel,2.508800e-04
12,v1,16,16,total,1.945024e-03
12,v1,16,16,kernel,4.331520e-04
12,stock,24,24,total,4.890368e-03
12,stock,24,24,kernel,2.652160e-04
12,v1,24,24,total,1.968960e-03
12,v1,24,24,kernel,4.321280e-04
12,stock,16,32,total,3.738592e-03
12,stock,16,32,kernel,2.508800e-04
12,v1,16,32,total,1.975616e-03
12,v1,16,32,kernel,4.300800e-04
12,stock,32,32,total,5.431680e-03
12,stock,32,32,kernel,2.631680e-04
12,v1,32,32,total,1.971328e-03
12,v1,32,32,kernel,4.259840e-04
13,cpu,,,total,2.276623e-01
13,stock,8,4,total,2.041184e-03
13,stock,8,4,kernel,2.570240e-04
13,v1,8,4,total,1.962144e-03
13,v1,8,4,kernel,4.361920e-04
